year,month_finished,tournament,country,quarter,semi,final,won
2023,May,BLAST.tv Paris Major,Poland,2,1,1,0
2024,March,PGL CS2 Major Copenhagen,Poland,1,0,0,0
2024,December,Perfect World Shanghai Major,Poland,3,2,0,0
2025,June,BLAST.tv Austin Major,Poland,0,0,0,0
2013,November,DreamHack Winter,Slovakia,0,0,0,0
2014,March,EMS One Katowice,Slovakia,0,0,0,0
2014,August,ESL One Cologne,Slovakia,1,0,0,0
2014,November,DreamHack Winter,Slovakia,1,1,0,0
2015,March,ESL One Katowice,Slovakia,1,0,0,0
2015,August,ESL One Cologne,Slovakia,1,0,0,0
2015,November,DreamHack Open Cluj-Napoca,Slovakia,1,1,1,0
2016,April,MLG Columbus,Slovakia,1,1,1,0
2016,July,ESL One Cologne,Slovakia,1,0,0,0
2017,January,ELEAGUE Major,Slovakia,1,0,0,0
2017,July,PGL Major Krakow,Slovakia,0,0,0,0
2018,January,ELEAGUE Major,Slovakia,2,1,1,0
2018,September,FACEIT Major,Slovakia,1,0,0,0
2019,March,IEM Katowice,Slovakia,1,0,0,0
2019,September,StarLadder Major Berlin,Slovakia,0,0,0,0
2021,November,PGL Major Stockholm,Slovakia,0,0,0,0
2022,May,PGL Major Antwerp,Slovakia,0,0,0,0
2022,November,IEM Rio Major,Slovakia,1,1,0,0
2023,May,BLAST.tv Paris Major,Slovakia,1,1,0,0
2024,March,PGL CS2 Major Copenhagen,Slovakia,1,1,1,0
2024,December,Perfect World Shanghai Major,Slovakia,1,1,1,0
2025,June,BLAST.tv Austin Major,Slovakia,1,0,0,0
2013,November,DreamHack Winter,Turkiye,0,0,0,0
2014,March,EMS One Katowice,Turkiye,0,0,0,0
2014,August,ESL One Cologne,Turkiye,0,0,0,0
2014,November,DreamHack Winter,Turkiye,0,0,0,0
2015,March,ESL One Katowice,Turkiye,0,0,0,0
2015,August,ESL One Cologne,Turkiye,0,0,0,0
2015,November,DreamHack Open Cluj-Napoca,Turkiye,0,0,0,0
2016,April,MLG Columbus,Turkiye,0,0,0,0
2016,July,ESL One Cologne,Turkiye,0,0,0,0
2017,January,ELEAGUE Major,Turkiye,0,0,0,0
2017,July,PGL Major Krakow,Turkiye,0,0,0,0
2018,January,ELEAGUE Major,Turkiye,0,0,0,0
2018,September,FACEIT Major,Turkiye,1,0,0,0
2019,March,IEM Katowice,Turkiye,0,0,0,0
2019,September,StarLadder Major Berlin,Turkiye,0,0,0,0
2021,November,PGL Major Stockholm,Turkiye,0,0,0,0
2022,May,PGL Major Antwerp,Turkiye,0,0,0,0
2022,November,IEM Rio Major,Turkiye,0,0,0,0
2023,May,BLAST.tv Paris Major,Turkiye,0,0,0,0
2024,March,PGL CS2 Major Copenhagen,Turkiye,5,0,0,0
2024,December,Perfect World Shanghai Major,Turkiye,0,0,0,0
2025,June,BLAST.tv Austin Major,Turkiye,0,0,0,0
2013,November,DreamHack Winter,Norway,0,0,0,0
2014,March,EMS One Katowice,Norway,0,0,0,0
2014,August,ESL One Cologne,Norway,0,0,0,0
2014,November,DreamHack Winter,Norway,0,0,0,0
2015,March,ESL One Katowice,Norway,0,0,0,0
2015,August,ESL One Cologne,Norway,1,0,0,0
2015,November,DreamHack Open Cluj-Napoca,Norway,2,2,0,0
2016,April,MLG Columbus,Norway,0,0,0,0
2016,July,ESL One Cologne,Norway,0,0,0,0
2017,January,ELEAGUE Major,Norway,2,0,0,0
2017,July,PGL Major Krakow,Norway,0,0,0,0
2018,January,ELEAGUE Major,Norway,1,1,1,0
2018,September,FACEIT Major,Norway,1,0,0,0
2019,March,IEM Katowice,Norway,2,0,0,0
2019,September,StarLadder Major Berlin,Norway,1,1,0,0
2021,November,PGL Major Stockholm,Norway,0,0,0,0
2022,May,PGL Major Antwerp,Norway,1,1,1,1
2022,November,IEM Rio Major,Norway,0,0,0,0
2023,May,BLAST.tv Paris Major,Norway,2,1,0,0
2024,March,PGL CS2 Major Copenhagen,Norway,1,1,1,0
2024,December,Perfect World Shanghai Major,Norway,1,1,1,0
2025,June,BLAST.tv Austin Major,Norway,1,0,0,0
2013,November,DreamHack Winter,Uruguay,0,0,0,0
2014,March,EMS One Katowice,Uruguay,0,0,0,0
2014,August,ESL One Cologne,Uruguay,0,0,0,0
2014,November,DreamHack Winter,Uruguay,0,0,0,0
2015,March,ESL One Katowice,Uruguay,0,0,0,0
2015,August,ESL One Cologne,Uruguay,0,0,0,0
2015,November,DreamHack Open Cluj-Napoca,Uruguay,0,0,0,0
2016,April,MLG Columbus,Uruguay,0,0,0,0
2016,July,ESL One Cologne,Uruguay,0,0,0,0
2017,January,ELEAGUE Major,Uruguay,0,0,0,0
2017,July,PGL Major Krakow,Uruguay,0,0,0,0
2018,January,ELEAGUE Major,Uruguay,0,0,0,0
2018,September,FACEIT Major,Uruguay,0,0,0,0
2019,March,IEM Katowice,Uruguay,0,0,0,0
2019,September,StarLadder Major Berlin,Uruguay,0,0,0,0
2021,November,PGL Major Stockholm,Uruguay,0,0,0,0
2022,May,PGL Major Antwerp,Uruguay,0,0,0,0
2022,November,IEM Rio Major,Uruguay,0,0,0,0
2023,May,BLAST.tv Paris Major,Uruguay,0,0,0,0
2024,March,PGL CS2 Major Copenhagen,Uruguay,0,0,0,0
2024,December,Perfect World Shanghai Major,Uruguay,0,0,0,0
2025,June,BLAST.tv Austin Major,Uruguay,1,1,0,0
2013,November,DreamHack Winter,Mongolia,0,0,0,0
2014,March,EMS One Katowice,Mongolia,0,0,0,0
2014,August,ESL One Cologne,Mongolia,0,0,0,0
2014,November,DreamHack Winter,Mongolia,0,0,0,0
2015,March,ESL One Katowice,Mongolia,0,0,0,0
